Id,ProductId,UserId,ProfileName,HelpfulnessNumerator,HelpfulnessDenominator,Score,Time,Summary,Text
3017,B0025UALB6,AY12DBB0U420B,Gary Peterson,0,0,4,1316736000,Good Nutrition and Right Size.,"When I'm working, I always carry my own lunch. It's so much better than the food court, and I have much better regulation of my nutrient intake. Finding items having high protein without high fat is the most difficult task. Tuna is excellent and these little Chicken of the Sea White Tuna Cups fill the bill. Put one in the lunch with a few fresh fruit and veggie items and perhaps a few dried fruits and nuts. It's good nutrition, and there's no worry about weight gain. Also, when I'm camping, I like to take a batch of these tuna cups along. In both cases, the cup size just the right for one serving.<br /><br />I had a minor problem with the latest tuna cups, and it might be just a batch problem. My latest tuna was very dry. I almost had to choke it down. And it seemed rather tasteless. I've had these cups in the past and they seemed much better. I have not been satisfied with the present ones. However, I like the product and the serving size and It will not deter me from future purchases.<br /><br />Gary Peterson"
3018,B0025UALB6,AJD41FBJD9010,"N. Ferguson ""Two, Daisy, Hannah, and Kitten""",0,0,5,1313107200,"convenient, filling, 70 calories and lots o protein = great work lunch item","I keep a stack of these tuna cups at work, along with lemon juice and teriyaki sauce for variety.  They are low calorie, satisfying, and nutritious.  I'm sold on them-- now buy in bulk and keep on hand all the time!"
3019,B001FA1KUS,A3KSURO95KOATX,"Mark Toms ""Mark""",5,6,2,1243209600,Quick wild rice is ok,"If you want the best wild rice, buy the regular kind. This ""quick cook"" type is not near the taste quality of the regular/ 40 minute cook time rice.,"
3020,B001FA1KUS,AC8PTTE9SEU9E,T,1,1,5,1339113600,Best Quick Cook Wild Rice.,"This is the best one. Bob's Red Mill doesn't hold a candle to this. It's fluffy, delicious. and doesn't stick to the pan.<br />I use 4:1 water to rice....Yum"
3021,B001FA1KUS,A3BSVEVBV9RZS2,Vegan Traveler,1,1,5,1258502400,Great Quality and convenient quick cooking,I like to put wild rice in many dishes. This is a good buy and easy to drop into other rice dishes or soups.
3022,B000B9SFP2,AZFHSPEZUPGD2,Carol M,4,4,4,1309651200,"Very good corral for 1 horse, maybe 2 with additional electric tape","I love portable electric corrals.  They are a fantastic option for containing horses while camping, etc.  They are easy to use, give your horse some walking around room,  don't require a level set-up area, are flexible for size/shape, and are  small enough to keep handy in your trailer's tack room.  I much prefer using these to portable panels, high-lining, tying to the trailer, etc.<br /><br />There are many portable corral kits on the market, all very similar with the same kinds of components.  (Except the Zareba EZEE, which is a different animal.)  So I'll give you a component-by-component rundown on the items in this kit.<br /><br />CHARGER - This kit comes with a charger that takes 2 D batteries.  I was leery of this, having had less-than-stellar performance from a 2D charger in the past.  But this one works pretty good, producing a reasonable strength zap with 100 feet of electric tape (with good grounding in damp, solid soil).  If your horse is already accustomed to and respectful of electric fencing, this should be sufficient.  The charger is easy to use, with the fence and ground terminals clearly marked.  The on-off switch is very accessible, and a light and an audible sound tell you when it's on.<br /><br />ELECTRIC TAPE --  This kit is advertised as coming with 200 feet of ½"" tape.  My kit had only 100 feet.  100 feet is enough for one horse.  I don't know where they're coming with up the statement `perfect for containing 4-5 horses for short periods of time'.  No way, not even close, even if I had received the full 200 feet.  Of course, it's easy enough to pick up more electric tape at the farm store.  But beware that the more tape you add on, the less zap you'll get from your charger.  So I'm not sure if the 2D charger would be strong enough with 200 feet of tape.  The tape in this kit comes with a handle pre-installed.  It's a nice handle with a good feel to it, but it doesn't connect nicely to the posts.  I rigged up an extra little tape loop to hook the  handle to.<br /><br />STEP-IN POSTS - These are my favorite kind of step-in posts.  Each post has numerous clips to slide the tape through, so you can set at the right height.  It's very quick and easy to insert and remove the tape from the clips, making set-up and take-down easier.<br /><br />CORNER GUY LINES - This kit comes with some very nice corner guy lines and metal bracing stakes.  Honestly, I'll probably never use them.  With this style of fence, there usually isn't much (if any) tension on the posts, so  I've needed corner guy lines.  Why add to set-up and take-down time?  But if you prefer to use the corner guy lines, I think you'll like the ones in this kit.  They are nice quality adjustable lines, with metal stakes.<br /><br />WIRES, GROUND ROD, ETC -- Of course this kit contains the necessary wires to connect the charger to the fence, and the charger to ground.  The ground rod is a 12"" pointed spike.  Nothing special here.<br /><br />CARRYING BAG - Oh my gosh, A+++ for this carrying bag!  The bag has one long skinny section for the posts, and a separate snap-off zipper tote for the other components.  Within the smaller bag, there  are separate compartments and elastic holders for each piece.  No more jumble of stuff!!!  I love it.  (One quibble - one of the step-in posts had pierced the bag during packing or shipping.  The bag is made of pretty heavy-duty fabric, but not quite heavy-duty enough to stand up to a pointed spike.  And the ends of the bag are not reinforced to avoid this problem.)<br /><br />All in all, this portable fence kit is about as good as any I've seen and would be a reasonable choice for anyone wanting a camping corral.  Just don't expect it to ""contain 4-5 horses "", unless you're rotating those horses in and out one at a time."
3023,B000B9SFP2,A1I4NHYX40MFD,C. Keeney,3,3,3,1310428800,Easy and portable...but a few issues,"Although I think this pen is great...I didn't receive the entire roll of polytape..even after calling customer service...and I think the height of the posts is misleading..hence the 3 stars.  If I wanted to buy a new energizer and more polytape then it would be great to own, as my review below states:<br /><br />Easy one-page instructions and everything fits nicely back inside the bag, without struggling...<br /><br />I needed this portable paddock for my goats because I have a lot of unfenced acreage beyond the barn area.  I was worried about the fence being suitable for goats so I called Customer Service...The rep went to a lot of trouble and checked this for me and said it would work fine for goats as well.  However, several days later, I called back and spoke to another rep and he said that goats needed much higher voltage.  This particular energizer is 3,000 volts and that goats needed 5,000 to 8,000 volts. But he said I could just buy another pulse type energizer and it would work with the tape that I have.  I have older, very mellow goats so the 3,000 volts are working so far.<br /><br />I have different breeds and therefore different heights of goats and one concern was that the clips on the post wouldn't be low enough to the ground for my mixed breed goats but on the post, it has clips all the way down so that the tape can be hung at various heights.  However, even though the post is listed as 4ft high, I measured and they are actually 47 1/8  inches tall and after you push the metal tip into the ground, you are left with a height of 38 inches.  The tape rests at the bottom of the top clip which holds the tape at 35 inches off the ground.  Seems awfully short for horses but I don't know anything about horses either.<br /><br />The instructions are clear and has helpful diagrams, making it all very easy to put together.  I did have problems at the end tying it to the last post.  I had to call Customer Service, and the rep said that you CANNOT unroll the whole spool of polytape if you are hanging it to the last post via the spool, which is per the instructions.  Since I had already unrolled it to the end, I had to tie the end of the polytape to the post or to the empty spool container, which he said was okay, but then it's not easy to untie that knot.<br /><br />In lieu of posts, you can hang the guy wire around trees and then slide the electric tape through the loop.  Guy wires, which are similar to tent stakes give the posts extra stability, but I saw no need for them at all since the clay soil held the posts very well.<br /><br />My ground is hard clay but the fence posts sunk in easily, despite that.  It had rained within the last week though so it may be different depending on the dryness of the soil.  The posts are sturdy, and strong enough to not break with normal use.  I did have gravel in some spots which made me have to relocate a few posts, since the tips would not go past them.<br /><br />There is no mention of the tape being allowed to touch weeds and grass, so I called Customer Service back to find that out. He said that that only a low impedance energizer can be used near grass and this energizer is NOT low impedance.  So, I had to mow where I wanted to put the fence to avoid any problems with grounding.  Not very practical when out on the road.<br /><br />Planning the fence was harder than I imagined because I couldn't make a perfect square and I thought I had measured correctly but still fell short of where I wanted the fence to end.  I then discovered that I was only given 126 feet of polytape rather than the 200 feet.  Doing a trial run of setting the fence up is recommended.<br /><br />I wanted something that was easy.  I'm a small middle-aged female and needed something that wasn't too much trouble so I could move it around without a lot of sweat and tears.  This is perfect for my goat situation if they had just sent me the correct length tape.  It seems too short for horses but I posted the measurements in case it helped someone who has horses."
3024,B000B9SFP2,A1GNYV0RA0EQSS,"Sl Judge ""gatormomz""",1,1,5,1312761600,Easy Assembly - Great for Alpacas!,"This product is both effective and convenient. We were able to assemble it and have it working within 30 minutes. It worked great as a ""maternity ward"" for our alpaca millay and her new cria. We were able to give them some private time while not feeling as though they were separated from the herd. I highly recommend this product and will have many uses for it in the future! Please view our pictures we have provided in the customer photo section!!"
3025,B000B9SFP2,A3U78OW4OO2Q8W,"poltroon ""poltroon""",0,0,4,1319932800,Nicely thought out kit for temporary grazing etc,"This kit pulls together several standard components rather nicely. I am using it for supplemental grazing of horses, particularly to get small areas that are not permanently enclosed as pasture, but that get overgrown and/or delicious.<br /><br />I like it. Setup time, once you figure out the components, is about 15 minutes. It has all the pieces to make a very reasonable temporary electric corral - tape, posts, charger, ground, and gate hook.<br /><br />The 8 step-in posts are fairly standard: they have nice pointy metal stakes at the bottom that make them relatively easy to insert in moist ground. You probably can't get them into rock hard dry ground, but that's not a surprise. There are clips to give you flexibility in the fence height. But - you've probably seen them at the feed store - this kind of post is pretty short and will feel quite short compared to a normal horse fence.<br /><br />The kit is supposed to come with 200' of 1/2"" electric tape. Mine (as a Vine kit) only had 100'. This is enough for one very well behaved horse in a 25x25 square. The tape is not much of a visual barrier, especially with only one strand. This is not a fence I'd trust for a problem horse or for long unattended periods. 200' would be enough for either two strands or to have a 50x50 square and would be a much better value of time spent to grazing time. 50 x 50 is still quite small and the fence is still not substantial. It would be straightforward to add tape, but adding distance also increases the load on the charger.<br /><br />The product description says 4-5 horses. I would not feel safe doing that. Two quiet horses who know each other well and are already familiar with electric fence, maybe three for very brief periods, if you had the 50 x 50 and were nearby or had a secure outer fence. For grazing, three horses would have the area mowed in just a couple of hours.<br /><br />The charger - which uses 2 D batteries - has plenty of zap new. I was pleased by how easy it was to work with. It has its own spike, allowing you to set it up away from the fence.  The connections are long enough that you can put it out of nose range. The grounding nail was easy to set up and pull out.<br /><br />I like that it comes with a simple corner bracing system. You can set it up without the corner braces, depending upon how tight you like your fence and how stiff the ground is. But when you need the braces, you're glad to have the option.<br /><br />The tape comes on a handy small spinning jenny, which is designed to hang on the fence when it is installed. It's a simple thing, and thoughtfully done. It makes it easy to unroll the fence when setting up, and easy to reroll when putting it away. There is no problem doing the whole setup and takedown by yourself.<br /><br />The hook for the gate isn't quite a match for the brackets on the posts. A little bigger hook, or some sort of metal bracket, would be nice, to give a sense of a more secure latch. Still, you're counting on the fence never being touched, so it's not a big problem.<br /><br />The bag for the kit is amazing. Everything fits inside beautifully, with thoughtful pockets - even a special pocket for the instructions. It is easy to carry and extremely organized. I was very impressed to see the thought and effort put into the bag, which makes the kit much easier to use and deal with than just a pile of fence parts. The bag is big enough that there is room for extra items in both the long post compartment and the smaller bag section.<br /><br />This is a very nice and handy kit to have around if you have quiet horses that respect electric fence."
3026,B000B9SFP2,A2E3NAL9ECE7VS,"H. Erickson-Sander ""Heather""",0,0,4,1313366400,"Easy Setup, Nice Design","I haven't owned a portable fence for horses until now, but I am impressed and liking this product very much. Upon opening the package I was happy with the portability of the carrying bag, and shocked at how lightweight and compact this system is. It's a great accessory to throw in the trailer when taking the horses out, or just to have around in the event that we need a temporary corral for a couple horses. Once set up, it won't hold more than two of our horses comfortably. I don't think we'd ever try and manage to get 4 inside like the product advertises!<br /><br />The instructions were surprisingly simple and it set up easily between myself and my husband working on it. I can see how this would be great to have for other animals as well (such as alpacas), but we only have need for it with the horses and have had success in containing them.  The step in posts are fantastically designed, the overall design makes the fence very versatile, setting up easily pretty much anywhere your horse an go.<br /><br />We're very happy with it's design and portability and will get a lot of good use out of this system, I think!"
3027,B000B9SFP2,A2OL5WLCNZVD9K,nonpareil,0,0,5,1311552000,Works for us,"I am always impressed when someone tries to solve an old problem in a new way. And I have never been happy hobbling my horse - I'd rather she could escape from a dangerous situation, and something unpredictable is far more likely to happen on the trail than at home. Sooo - here we have this device that is compact and weighs only 15 pounds, thus is easy to pack for trail rides. And since it operates on easily-obtainable D cells, no problem being ""off the grid"".<br /><br />The Fi-Shock HC-100 Portable Paddock showed up in a nice durable red Cordura nylon case. The long part contains eight molded, reinforced plastic stakes with foot push tabs to make it easy to get the metal spikes at the bottom, into the ground. Their working height seems to be just about 3 feet. Multiple slots allow a variety of configurations in set-up.<br /><br />A smaller bag attaches to the pole bag with snaps. It contains 100' of conductive tape on a reel (no, I don't know why the product description says 200'), the transformer of nicely molded, durable-looking green plastic, a transformer stand to be tamped into the ground, a shoulder strap, and two D cell batteries which I promptly put in a safer place so they couldn't accidentally contact conductive material and discharge.<br /><br />This proved easy enough to set up in an area that is clear of tall brush that could cause trouble when contacting the live tape. Properly set up, the paddock's batteries did not drain. Of course I carried extras. I also chose to guy the corners which I am used to with tents. Of course I had to bring extra rope and tent stakes for that purpose. No problem.<br /><br />This worked... for ONE not-huge horse who is trained to electric fences, so she doesn't challenge them. Sure, any beast of her size could easily break out, but I'd want her to if in danger. No, I can't see how the stated 4 or 5 horses could be contained in this enclosure. But this a viable solution on the trail, for my mare."
3028,B000B9SFP2,A3UYBRB74RJFXB,M. Hammon,0,0,5,1311206400,Great for short term fencing!,"Got this to take along on backpacking trips with the horses.  It works fine for that purpose, the size is perfect and worked like a charm.  The two horses didn't attempt a getaway, at least.<br /><br />Easy to put up and easy to take down, along with the portability makes this a camping winner!"
3029,B000B9SFP2,A199FRO0YFMGED,Olivia,0,1,5,1313625600,It is very easy to set up.,"I don't have horses, so I am not using this in the traditional way.<br /><br />Our backyard is being redone and all the fences are down.  With a pool there, though covered, I was concerned about the wanderers etc. So this came in handy and it was so easy to set up."
3030,B000B9SFP2,A1T8N18XKDLJO4,B. Aikens,0,2,4,1311292800,Good,This is a great temporary fence for 1 or 2 horses. It is kinda unwieldy and you may need a little help setting it up if you are a smallish person but it works great after setup.
3031,B0024T3HXM,AT9D6BCAXNYX8,Cheryl,0,0,5,1278806400,Love it!,"I bought this color for a cake replica of the Stanley Cup that I made.  I was using this color for the very first time and I have to say that it was perfect!  I was afraid that the silver would be too dark or matte, but it had a sheen and was exactly what I was hoping for."
3032,B002HQP4YC,A2UCBX9XLSO1I4,"Melanie Evans ""melsuk""",5,6,5,1293580800,Real Truffle Oil makes a Difference,"This is the first time I have found a US produced truffle oil that actually contains real truffle. A lot of other ""truffle oils"" just have ""truffle aroma"" (whatever that is) and a lot of chemicals that sound less than pleasant. You can definitely taste the difference as well."
3033,B0052OI128,A2B93DNY4CTH3X,pack,8,8,5,1309478400,No more guilt snacking the grand-babies!,These cookies are amazing. They taste as good as if not better than the original brands. I only wish local stores would catch on and carry this cookie.
3034,B0052OI128,A2LBGXEG1ZLZEK,Lisa Serafino,6,6,5,1312848000,DELICIOUS!!!,"These cookies are ridiculous.  They are just as delectable as ... well... any popular chocolate-sandwich-with-cream-center-cookie you can think of :)  When you compare them, they are slightly larger in serving size (2g bigger), and still they have about 10 fewer calories, the same fat, sugar, and carb content, but 25% less saturated fat, three times the fiber, and are MUCH more nutritious (loads of vitamins, minerals, etc). Plus, you don't HAVE to eat 3 cookies, you can just have one or two (good luck).  Everyone who has come to my house has asked to try one, and they went crazy for them.  If you are craving something sweet after a meal and still want to put good things into your body, you will absolutely love these cookies. Delicious to munch and no weird after-taste whatsoever (unlike the WhoNu chocolate chip cookies).  Just sweet, chocolatey, Oreo-esque yumminess.<br /><br />I will say, though, that I cannot, for the life of me, figure out why they're so expensive on Amazon. Maybe because they're not in every grocery store yet, so, when combined with shipping, Amazon can get away with charging a little more?  Who knows. I know I bought them here for convenience, and I'm so glad I got three boxes.  I know you can find them in ShopRite or WalMart for around $3.<br /><br />Wherever you end up getting them, enjoy!"
3035,B0052OI128,A2R6RA8FRBS608,Matthew G. Sherwin,2,2,5,1348185600,WhoNu? Chocolate Sandwich Creme Cookies ~~ DELICIOUS AND HEALTHIER THAN THE MAJOR NAME BRAND !!!,"These chocolate sandwich creme cookies by WhoNu? are every bit as delicious as similar brands but they are healthier for you. True, they have almost the same sugar, fat and carb amounts of the best-known name brand of these cookies; but as others have noted they also give you fiber with noticeably more vitamins and minerals than that other brand. This is a plus!<br /><br />They're really good as a snack and it's hard to stop at the serving size of just three cookies; but I guess I'm allowed an occasional guilty pleasure! As I write this they are a bit too expensive on this website; try looking for these cookies elsewhere unless you want the convenience of having them shipped to your door.<br /><br />Overall, these awesome chocolate sandwich creme cookies by WhoNu? are the best! I definitely recommend them as an excellent, healthier alternative to the major name brand of this type of cookie.<br /><br />I love `em! Enjoy!"
3036,B0052OI128,A253T7ELJ0N64S,Lia M.,2,3,5,1314489600,SO delicious!,"I bought these locally, not from amazon. I'm in Arizona and they are sold in Albertsons and Bashas stores. They are absolutely delicious and taste just like other cookies. I bought all four of the ""flavors"" to test them out. The only one I didn't like was the chewy chocolate chip. All others though are wonderful. I count calories and try to eat healthy, but I do indulge with treats sometimes. This is the perfect treat since it has all the vitamins and fiber! I will never eat a regular cookie again. What's the point when you can actually get nutrition from tasty cookies!?"
3037,B0052OI128,A2IO81VHTFEYN8,Patricia T.,0,0,2,1346716800,"Delicious, but.....","I love these cookies, they taste exactly like Oreos. But unfortunately, every time I eat them (2 cookies at a time)I get horrible headaches and migraines (which I don't get from real Oreos) Its obviously caused by some of the 'nutritious' ingredients. Another thumbs down---they include vitamin K which should not be eaten by anyone on blood thinners, or for anyone middle-aged or older who overindulges in these cookies be warned---vitamin K can cause blood clots.<br />HEADACHE & MIGRAINE SUFFERERS BEWARE of these cookies!"
3038,B0052OI128,A256JOUD8X0J7R,"musicfan ""The 80s are my favorite""",0,0,3,1343865600,Okay,"I really liked these cookies when they first came out.  But then I got a little tired of them.  They have a bit of a gritty texture, and they don't taste the way you hope they will when thinking of an Oreo.  They are worth eating if you have a bad craving, but I can't eat more than one or two.  The different taste gets to me.  There may be an ingredient in them that doesn't agree with me.  They contain vegetable oils, just like Oreos do.  Palm oil is in practically everything these days because it is cheap for companies to use.  When I eat it, it leaves a thick, greasy film in my mouth and throat.  Store-made cake frostings, cookies, cupcakes...anything that has it leaves that feeling, and I don't like it at all.  Some are worse than others, making it hard to swallow.  This happened when I ate a double-stuf chocolate WhoNu cookie.  Palm oil is listed as an ingredient.  I stopped buying them and the regular chocolate.  I only get the vanilla version.  They contain palm oil as well, but I'm guessing it is less because they don't bother me.  I like them much better.  It's weird because I like chocolate sandwich cookies better than vanilla ones in general.  But with Whonu, the vanilla wins for me.<br /><br />Yesterday I had a craving for a chocolate sandwich cookie, and I bought Oreos.  Even Oreos don't taste as good as they used to.  I guess since the trans fat change in products.  The WhoNu cookies have the extra vitamins and nutrients, and less sodium.  But the Oreos have a better flavor.  The difference in fat content doesn't seem to be very different.  Actually, the difference in sodium doesn't seem very significant, either.  I decided I'd rather eat a few Oreos than a few of these.  It's something you have to decide for yourself when comparing the pros and cons."
3039,B0052OI128,A1J52MX2YDWSU0,these pretzels r making me thirsty,0,0,5,1328227200,Really good cookies!,"This review is based on taste only, not nutritional value or any of the other qualities or selling points of these cookies.  I wrote three sort of similar reviews for this brand of cookies.  This review is for those who are looking for a cookie because they want a cookie, not vitamins or fiber or whatever.  I bought them because I have a sweet tooth and wanted some cookies and these were on sale plus I had a coupon.  I purchased the crispy cookies, the vanilla sandwich cookies and the chocolate sandwich cookies.  I thought they were all very good and would not hesitate to buy them again. I found these cookies to taste very good, very similar to an oreo except that the cookie part was a little thinner and crispier than an Oreo.  Oreos might taste a wee bit better but then they're Oreos, come on.  A cool fact I found out when I was looking up ingredients for Whonu Chocolate Sandwich cookies and Oreos, the first ingredient in regular Oreos is sugar and in these cookies and most other sandwich cookies I think it is flour.  I found that interesting for some reason.  Anyway, out of the three flavors I tried this was my least favorite but only because I like vanilla ALOT, these are still great tasting chocolate sandwich cookies!"
3040,B0052OI128,A2SRHV1EV975E1,LMB,1,2,4,1315008000,These are good but..........................,"these are grossly overpriced.  It is a package of three boxes but when you take into account that they are a dollar of two per box than they should be, you then have to pay for shipping.  Sorry, I would skip them.  My local grocery store carries them and a box is anywhere from 2.98 to 3.49 each.  Although these are healthier than some other cookies, you still have to watch the fat, sugar and salt contents.  Whole foods are much better for you but in a moment or two of indulging, these fit the bill.  Just the price on this site is ridiculous!  Ask your grocer to start carrying them."
3041,B0060OP9TM,A1UKXJHS1IXTG1,Kindle reader,2,2,1,1322956800,Stay away from this company,"We purchased this product and were greatly disappointed.  The product did not have the texture or the taste that it should have.  We contacted customer service and when they discovered that we were complaining, they suddenly could not understand us and said customer service would contact us.  We never got a call back and could not get in touch with them again.  Very expensive and no quality.  Stay away from this company.  We lived in Spain for years and know what this product should taste like and this was not what it should have tasted like."
3042,B0033D3NHS,A1QN7MY280AKH2,blorb,0,0,5,1347235200,nice caramel flavor,"i purchased Cafe Excellence Crazy Caramel, Flavored Whole Bean<br />coffee it has a very good flavor and would buy again and the price was great"
3043,B0033D3NHS,A367G8ILC183KK,Lauren Ramasock,0,0,5,1294099200,Cafe Excellence Crazy caramet whole beans 2 pound,"Great, Fresh coffee beans. Gave as a christmas gift. We all had some of it and loved it. The smell was great and the flavour was awsome."
3044,B000GPY38E,A1BW98MWAJDPB1,Diana,2,2,5,1168387200,orbit white peppermint is the best!,This gum is my absolute favorite. By purchasing on amazon I can get the savings of large quanities at a very good price. I highly recommend to all gum chewers. Plus as you enjoy the peppermint flavor and freshing of breath you are whitening your teeth all at the same time.
